4,23207

5,14998

6,1211

7,814

8,644

9,595

10,680

11,703

12,715

13,563

14,556

15,534

16,487

17,522

18,521

19,470

20,485

21,461

22,462

23,456

24,440

25,457

26,440

27,488

28,519

29,487

30,517

31,489

32,472

33,499

34,480

35,517

36,599

37,612

38,679

39,714

40,715

41,672

42,564

43,592

44,581

45,529

46,576

47,581

48,578

49,555

50,519

51,638

52,745

53,590

54,593

55,586

56,638

57,621

58,538

59,589

60,601

61,622

62,651

63,561

64,592

65,594

66,558

67,676

68,758

69,895

70,1074

71,910

72,675

73,416

74,354

75,350

76,341

77,337

78,329

79,332

80,337

81,326

82,340

83,355

84,369

85,410

86,435

87,423

88,445

89,451

90,436

91,425

92,415

93,439

94,428

95,450

96,506

97,573

98,740

99,880

